,State Code,State Name,Cat,State att,Number of members retain,Total number of enrollment,Retention_Rate
1,0,Alaska,state,AK,83,87,100.0
0,1,Alabama,state,AL,313,355,93.64161849710982
3,2,Arkansas,state,AR,2414,2693,84.21052631578947
2,3,Arizonas,state,AZ,1447,1568,64.58333333333334
4,4,California,state,CA,722,815,76.52173913043478
5,5,Colorado,state,CO,324,346,79.06976744186046
6,6,Connecticut,state,CT,1295,1536,87.67772511848341
50,7,Derek,state,DC,89,98,88.0
7,8,Delaware,state,DE,1015,1100,92.85714285714286
8,9,Florida,state,FL,1704,1902,89.6398069067954
9,10,Georgia,state,GA,460,514,89.58990536277602
10,11,Hawaii,state,HI,1046,1233,90.81632653061224
14,12,Iowa,state,IA,1147,1197,88.67924528301887
11,13,Idaho,state,ID,86,95,91.6030534351145
12,14,Illinois,state,IL,160,176,95.82289055973267
13,15,Indiana,state,IN,425,469,88.71527777777779
15,16,Kansas,state,KS,126,147,91.52542372881356
16,17,Kentucky,state,KY,68,86,95.54794520547945
17,18,Louisiana,state,LA,511,576,95.83333333333334
20,19,Massachusetts,state,MA,217,336,93.85245901639344
19,20,Maryland,state,MD,141,159,88.88888888888889
18,21,Maine,state,ME,80,90,95.40229885057471
21,22,Michigan,state,MI,370,422,87.87878787878788
22,23,Minnesota,state,MN,626,798,82.6086956521739
24,24,Missouri,state,MO,229,244,88.58895705521472
23,25,Mississippi,state,MS,54,59,87.5
25,26,Montana,state,MT,151,161,77.77777777777779
32,27,North Carolina,state,NC,78,82,92.28316326530613
33,28,North Dakota,state,ND,298,331,100.0
26,29,Nebraska,state,NE,120,131,85.71428571428571
28,30,New Hampshire,state,NH,221,244,89.1566265060241
29,31,New Jersey,state,NJ,16,16,89.67828418230563
30,32,New Mexico,state,NM,192,228,95.1219512195122
27,33,Nevada,state,NV,669,746,82.6086956521739
31,34,New York,state,NY,279,292,84.30989583333334
34,35,Ohio,state,OH,63,67,89.49416342412452
35,36,Oklahoma,state,OK,58,66,90.32258064516128
36,37,Oregon,state,OR,176,230,90.52631578947368
37,38,Pennsylvania,state,PA,56,62,90.57377049180327
38,39,Rhode Island,state,RI,19,23,90.9090909090909
39,40,South Carolina,state,SC,7,9,78.44611528822055
40,41,South Dakota,state,SD,4,4,80.0
41,42,Tennessee,state,TN,4,5,88.16901408450704
42,43,Texas,state,TX,22,23,84.83373884833739
43,44,Utah,state,UT,74,83,90.6183368869936
45,45,Virginia,state,VA,22,25,90.03021148036254
44,46,Vermont,state,VT,13,14,94.02985074626866
46,47,Washington,state,WA,19,23,93.7888198757764
48,48,Wisconsin,state,WI,23,24,92.27272727272727
47,49,West Virginia,state,WV,7,8,95.65217391304348
49,50,Wyoming,state,WY,2,2,100.0
